game,date,opponent,loc,win_loss,final_margin,shot_no,period,game_clock,shot_clock,dribbles,touch_time,shot_dist,pts_type,shot_result,defender,defender_dist
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,1,1,11:39,21.2,1,1.4,24.7,3,missed,"McLemore, Ben",3.8
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,2,1,10:09,2.9,0,0.7,22.6,2,made,"Collison, Darren",4.1
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,3,1,7:10,19,2,2.2,25.1,3,made,"Gay, Rudy",3.9
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,4,1,6:10,6.8,1,1.3,15.9,2,missed,"McLemore, Ben",3.9
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,5,1,3:25,11,2,3.8,8.4,2,missed,"Stauskas, Nik",2.4
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,6,2,6:01,8.1,0,0.6,25.5,3,missed,"McLemore, Ben",5.6
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,7,2,3:54,19.8,0,2,9.6,2,missed,"Collison, Darren",3
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,8,2,3:08,12.4,0,0.8,25.6,3,missed,"McLemore, Ben",6
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,9,3,11:07,4.6,0,0.8,22,3,missed,"McLemore, Ben",3.9
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,10,4,7:47,19.8,5,4.8,4.4,2,missed,"Collison, Darren",1.2
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,11,4,6:58,11.1,0,0.9,25.1,3,missed,"Stauskas, Nik",3.7
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,12,4,4:42,8.9,1,1,20.6,2,made,"Cousins, DeMarcus",3.2
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,13,4,2:02,17,0,1.3,22.8,3,missed,"Cousins, DeMarcus",7.5
"OCT 29, 2014 - GSW @ SAC",10/29/2014,SAC,A,W,18,14,4,1:01,10.2,0,0.7,24.2,3,made,"Stauskas, Nik",5.2
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,1,1,11:12,13,2,3.1,4.5,2,missed,"Johnson, Wesley",1.9
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,2,1,8:58,14.8,0,0.8,7.7,2,made,"Johnson, Wesley",2.4
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,3,1,7:48,14.6,1,1.4,24.7,3,made,"Hill, Jordan",6
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,4,2,8:55,16.3,8,7.6,25.3,3,missed,"Ellington, Wayne",1.3
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,5,2,2:50,7.3,0,1.5,8.1,2,made,"Johnson, Wesley",0
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,6,2,2:03,19.2,1,1.5,1.5,2,made,"Johnson, Wesley",4
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,7,3,10:00,12.2,2,3.3,0.2,2,made,"Johnson, Wesley",2.1
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,8,3,9:12,17.3,0,1.2,27.2,3,missed,"Bryant, Kobe",6.2
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,9,3,8:45,14.1,10,10.1,5.9,2,made,"Hill, Jordan",1.1
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,10,3,7:43,20.5,0,0.9,2.9,2,made,"Hill, Jordan",3.4
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,11,3,4:48,19,2,3,5.7,2,made,"Bryant, Kobe",0.1
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,12,3,2:50,19.7,0,0.7,26.7,3,made,"Bryant, Kobe",5.4
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,13,3,2:17,11.7,0,0.7,25.4,3,made,"Johnson, Wesley",3.7
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,14,3,1:48,14.6,2,2.7,16.9,2,missed,"Bryant, Kobe",8.6
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,15,4,11:46,10,1,4.3,12.8,2,made,"Clarkson, Jordan",2.8
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,16,4,6:04,14.7,0,0.6,22.3,3,made,"Bryant, Kobe",4.2
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,17,4,3:02,22.2,0,0.5,5.1,2,made,"Lin, Jeremy",20
"NOV 01, 2014 - GSW vs. LAL",11/1/2014,LAL,H,W,23,18,4,1:56,17.9,0,1.1,22.8,3,made,"Johnson, Wesley",9
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,1,1,10:40,17.2,1,1.2,19.7,2,missed,"Matthews, Wesley",2.6
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,2,1,10:06,20.6,1,1.5,4.6,2,missed,"Batum, Nicolas",3.3
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,3,1,8:57,18.9,2,3,7.6,2,made,"Lopez, Robin",3.5
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,4,1,7:20,20,8,5.2,5.3,2,made,"Lillard, Damian",2.2
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,5,1,6:54,16.1,1,1.7,3.1,2,missed,"Aldridge, LaMarcus",2.1
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,6,1,6:24,14.5,1,1.5,20.7,2,made,"Matthews, Wesley",2.4
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,7,1,4:42,4,3,3.4,2.1,2,made,"Blake, Steve",1.9
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,8,1,4:07,20.9,0,0.9,24.7,3,made,"Blake, Steve",1.8
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,9,1,3:18,10.8,1,2.5,23.7,3,missed,"Blake, Steve",1.4
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,10,1,2:11,10.1,0,0.6,24.3,3,missed,"Blake, Steve",2.2
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,11,1,1:41,10,3,2.8,5.3,2,missed,"Aldridge, LaMarcus",1.2
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,12,1,1:21,14,3,4.3,19.5,2,made,"Blake, Steve",3.1
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,13,2,3:43,19.8,4,4.4,24.7,3,made,"Matthews, Wesley",4
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,14,3,3:54,13.5,0,0.8,24.5,3,missed,"Lillard, Damian",6.5
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,15,3,3:24,12.7,0,1.5,16.9,2,missed,"Lillard, Damian",9.2
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,16,3,3:17,19.8,0,0.6,19,2,missed,"Blake, Steve",1.8
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,17,3,2:17,6.4,0,0.6,5.3,2,made,"Kaman, Chris",3.4
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,18,3,1:38,8.7,1,4.6,18.5,2,missed,"Blake, Steve",2.3
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,19,4,3:21,9.7,2,4.7,4.8,2,made,"Lopez, Robin",4.6
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,20,4,2:49,14.8,0,0.7,25.6,3,made,"Lillard, Damian",2.7
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,21,4,0:58,19.1,0,0.7,23,3,missed,"Matthews, Wesley",8.4
"NOV 02, 2014 - GSW @ POR",11/2/2014,POR,A,W,5,22,4,0:10,,0,1.4,7.8,2,made,"Matthews, Wesley",1.2
"NOV 05, 2014 - GSW vs. LAC",11/5/2014,LAC,H,W,17,1,1,8:00,12.4,13,11.5,6,2,missed,"Redick, JJ",1
